open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
33.77,575001000,284500000,91132100,2137982000.0,564584000,1871200000.0,154781000,51947000,364565000,176565000,51947000,2855812000.0,3436792000.0,36000000,ITW,6/30/2009,37.34
41.66,626314000,284500000,75917200,2107103000.0,579633000,1871200000.0,-154892000,49542000,543730000,302418000,49542000,2869377000.0,3626024000.0,36000000,ITW,9/30/2009,42.71
48.93,689572000,3037439000,56626800,2136527000.0,562376000,1871200000.0,1084080000,144962000,545650000,2108346000,51171000,2914874000.0,3464460000.0,36000000,ITW,12/31/2009,47.99
45.75,696293000,748604000,71308600,2035503000.0,550416000,1871200000.0,155724000,136771000,559807000,294331000,53103000,2807180000.0,3558682000.0,4637000,ITW,3/31/2010,47.36
46.09,731714000,748604000,92845000,1943878000.0,541517000,1871200000.0,155771000,53911000,703153000,509910000,53911000,2724342000.0,4032565000.0,2207000,ITW,6/30/2010,41.28
41.93,722923000,748604000,99395200,1952567000.0,585098000,1989000.0,156088000,52053000,688961000,1063403000,52053000,2737374000.0,3975300000.0,961000,ITW,9/30/2010,47.02
48.51,749489000,2310756000,74585600,2066156000.0,616747000,-17298000.0,168617000,139487000,604272000,968461000,53817000,2542087000.0,4116630000.0,-17046000,ITW,12/31/2010,53.4
55.11,866654000,821912000,64521900,2122296000.0,642618000,-17298000.0,169233000,82881000,737140000,1486659000,55000000,2597310000.0,4346822000.0,5557000,ITW,3/31/2011,53.72
57.01,864955000,821912000,66560500,2132013000.0,628017000,-17298000.0,170017000,62705000,803135000,685441000,62705000,2622796000.0,4584875000.0,15357000,ITW,6/30/2011,56.49
46.78,770386000,821912000,89482900,2037934000.0,615671000,3607000.0,167081000,68302000,824919000,-38377000,68302000,3522123000.0,4556615000.0,24682000,ITW,9/30/2011,41.6
45.28,697000000,2460440000,70013200,2025000000.0,636000000,-5409000.0,173949000,152568000,600284000,500261000,69087000,3488000000.0,4267632000.0,-46934000,ITW,12/30/2011,46.71
55.87,831000000,2460440000,54428700,2100000000.0,686000000,-5409000.0,174000000,153000000,796000000,652000000,72000000,3521000000.0,4505000000.0,8000000,ITW,3/30/2012,57.12
55.06,785000000,2460440000,78317100,2067000000.0,694000000,-5409000.0,172000000,75000000,1219000000,1487000000,75000000,3468000000.0,4628000000.0,23000000,ITW,6/29/2012,52.89
59.19,770000000,2460440000,67034400,2081000000.0,785000000,1000000.0,169000000,70000000,817000000,1190000000,70000000,4572000000.0,4477000000.0,29000000,ITW,9/28/2012,59.47
61.96,676000000,3332000000,49544200,1994000000.0,1176000000,1050000000.0,350000000,152000000,1637000000,1050000000,71000000,4589000000.0,1050000000.0,-56000000,ITW,12/31/2012,60.81
61.16,749000000,779000000,50065200,1960000000.0,1172000000,2000000.0,260500000,144000000,646000000,582000000,68000000,4556000000.0,3997000000.0,46000000,ITW,3/28/2013,60.94
70.33,717000000,833000000,44460000,1936000000.0,1193000000,-1000000.0,171000000,65000000,754000000,895000000,65000000,3771000000.0,4171000000.0,11000000,ITW,6/28/2013,69.17
72.18,616000000,676000000,34995500,1667000000.0,1174000000,1000000.0,171000000,64000000,798000000,1222000000,64000000,3808000000.0,3518000000.0,10000000,ITW,9/30/2013,76.27
79.4,634000000,2815000000,38781600,1709000000.0,1197000000,-6000000.0,186000000,134000000,698000000,408000000,64000000,2793000000.0,3554000000.0,-63000000,ITW,12/31/2013,84.08
81.61,689000000,682000000,47058200,1699000000.0,1231000000,-6000000.0,181000000,130000000,783000000,990000000,62000000,4789000000.0,3505000000.0,9000000,ITW,3/31/2014,81.33
86.55,683000000,677000000,36581000,1700000000.0,1297000000,-6000000.0,174000000,60000000,1828000000,2912000000,60000000,6140000000.0,3655000000.0,7000000,ITW,6/30/2014,87.56
88.28,594000000,675000000,40305560,1693000000.0,1258000000,-2000000.0,166000000,60000000,876000000,563000000,60000000,6034000000.0,3624000000.0,20000000,ITW,9/30/2014,84.42
94.75,512000000,2678000000,35099749,1686000000.0,1111000000,8000000.0,190000000,120000000,760000000,450000000,60000000,5943000000.0,3504000000.0,-41000000,ITW,12/31/2014,94.7
98.9,670000000,616000000,43054046,1624000000.0,1137000000,0.0,186000000,118000000,777000000,-110000000,59000000,5845000000.0,3288000000.0,21000000,ITW,3/31/2015,97.14
94.33,533000000,622000000,37289047,1636000000.0,1159000000,1000000.0,179000000,58000000,809000000,660000000,58000000,6994000000.0,3379000000.0,21000000,ITW,6/30/2015,91.79
82.41,498000000,581000000,41515641,1601000000.0,1160000000,-2000000.0,177000000,57000000,841000000,187000000,57000000,7000000000.0,3295000000.0,23000000,ITW,9/30/2015,82.31
94.3,449000000,2417000000,33961217,1577000000.0,1087000000,5000000.0,200000000,121000000,749000000,450000000,57000000,6896000000.0,3275000000.0,-60000000,ITW,12/31/2015,92.68
95.13,525000000,597000000,34048508,1598000000.0,1088000000,-1000000.0,200000000,58000000,785000000,640000000,59000000,7603000000.0,3215000000.0,4000000,ITW,3/31/2016,102.44
105.21,519000000,617000000,40195088,1580000000.0,1102000000,0.0,198000000,60000000,864000000,387000000,55000000,7752000000.0,3373000000.0,17000000,ITW,6/30/2016,104.16
118.86,582000000,604000000,31388921,1702000000.0,1164000000,-1000000.0,195000000,64000000,877000000,537000000,56000000,7860000000.0,3437000000.0,13000000,ITW,9/30/2016,119.84
125.7,511000000,2415000000,26097485,1652000000.0,956000000,10000000.0,228000000,64000000,843000000,507000000,54000000,7177000000.0,3575000000.0,-36000000,ITW,12/30/2016,122.46
133.28,574000000,605000000,27953040,1674000000.0,984000000,0.0,226000000,61000000,866000000,700000000,53000000,7666000000.0,3471000000.0,4000000,ITW,3/31/2017,132.47
